policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1044,State Primary Education Reform 56,Higher Education,Gujarat,2017,Urban Students,Implemented,69.27,"EdTech Companies, Universities",0.789,This policy aims to improve digital access in Higher Education through curriculum reform in Gujarat.,Increase reach by 22% in 3 years.,This policy aims to improve digital access in Higher Education through curriculum reform in Gujarat. Goals: Increase reach by 22% in 3 years.,"state primary education reform 56. this policy aims to improve digital access in higher education through curriculum reform in gujarat. goals: increase reach by 22% in 3 years.. stakeholders: edtech companies, universities"
P1218,District Early Childhood Education Reform 6,Secondary,Kerala,2017,Students,Implemented,51.7,"Ministry of Education, Local NGOs",0.703,This policy aims to improve teacher quality in Secondary through teacher training programs in Kerala.,Increase reach by 6% in 4 years.,This policy aims to improve teacher quality in Secondary through teacher training programs in Kerala. Goals: Increase reach by 6% in 4 years.,"district early childhood education reform 6. this policy aims to improve teacher quality in secondary through teacher training programs in kerala. goals: increase reach by 6% in 4 years.. stakeholders: ministry of education, local ngos"
P1402,National Secondary Education Reform 19,Early Childhood,Delhi,2020,Urban Students,Implemented,83.1,"Teachers' Unions, Community Leaders",0.503,This policy aims to improve learning outcomes in Early Childhood through grants to schools in Delhi.,Increase reach by 35% in 1 years.,This policy aims to improve learning outcomes in Early Childhood through grants to schools in Delhi. Goals: Increase reach by 35% in 1 years.,"national secondary education reform 19. this policy aims to improve learning outcomes in early childhood through grants to schools in delhi. goals: increase reach by 35% in 1 years.. stakeholders: teachers' unions, community leaders"
P1191,District Primary Education Reform 35,Early Childhood,Kerala,2023,All,Proposed,0.32,"Central Government, Donors",0.191,This policy aims to improve vocational skills in Early Childhood through teacher training programs in Kerala.,Increase reach by 24% in 1 years.,This policy aims to improve vocational skills in Early Childhood through teacher training programs in Kerala. Goals: Increase reach by 24% in 1 years.,"district primary education reform 35. this policy aims to improve vocational skills in early childhood through teacher training programs in kerala. goals: increase reach by 24% in 1 years.. stakeholders: central government, donors"
P1310,State Vocational Education Reform 45,Early Childhood,Punjab,2016,Urban Students,Implemented,58.17,"State Education Department, Private Partners",0.91,This policy aims to improve learning outcomes in Early Childhood through digital device distribution in Punjab.,Increase reach by 39% in 4 years.,This policy aims to improve learning outcomes in Early Childhood through digital device distribution in Punjab. Goals: Increase reach by 39% in 4 years.,"state vocational education reform 45. this policy aims to improve learning outcomes in early childhood through digital device distribution in punjab. goals: increase reach by 39% in 4 years.. stakeholders: state education department, private partners"
P1260,District Primary Education Reform 76,Early Childhood,Tamil Nadu,2016,Rural Students,Proposed,0.45,"Teachers' Unions, Community Leaders",0.786,This policy aims to improve early childhood development in Early Childhood through grants to schools in Tamil Nadu.,Increase reach by 8% in 1 years.,This policy aims to improve early childhood development in Early Childhood through grants to schools in Tamil Nadu. Goals: Increase reach by 8% in 1 years.,"district primary education reform 76. this policy aims to improve early childhood development in early childhood through grants to schools in tamil nadu. goals: increase reach by 8% in 1 years.. stakeholders: teachers' unions, community leaders"
P1106,District Primary Education Reform 92,Early Childhood,Maharashtra,2019,Students,Implemented,55.95,"EdTech Companies, Universities",0.231,This policy aims to improve digital access in Early Childhood through grants to schools in Maharashtra.,Increase reach by 19% in 4 years.,This policy aims to improve digital access in Early Childhood through grants to schools in Maharashtra. Goals: Increase reach by 19% in 4 years.,"district primary education reform 92. this policy aims to improve digital access in early childhood through grants to schools in maharashtra. goals: increase reach by 19% in 4 years.. stakeholders: edtech companies, universities"
P1054,State Higher Education Education Reform 5,Secondary,Delhi,2019,Disadvantaged Groups,Pilot,3.59,"Teachers' Unions, Community Leaders",0.801,This policy aims to improve vocational skills in Secondary through scholarship schemes in Delhi.,Increase reach by 17% in 4 years.,This policy aims to improve vocational skills in Secondary through scholarship schemes in Delhi. Goals: Increase reach by 17% in 4 years.,"state higher education education reform 5. this policy aims to improve vocational skills in secondary through scholarship schemes in delhi. goals: increase reach by 17% in 4 years.. stakeholders: teachers' unions, community leaders"
P1390,District Vocational Education Reform 53,Primary,Kerala,2020,Women,Implemented,3.38,"Teachers' Unions, Community Leaders",0.326,This policy aims to improve learning outcomes in Primary through digital device distribution in Kerala.,Increase reach by 24% in 5 years.,This policy aims to improve learning outcomes in Primary through digital device distribution in Kerala. Goals: Increase reach by 24% in 5 years.,"district vocational education reform 53. this policy aims to improve learning outcomes in primary through digital device distribution in kerala. goals: increase reach by 24% in 5 years.. stakeholders: teachers' unions, community leaders"
P1002,National Early Childhood Education Reform 26,Early Childhood,West Bengal,2018,Urban Students,Under Review,3.91,"State Education Department, Private Partners",0.721,This policy aims to improve teacher quality in Early Childhood through digital device distribution in West Bengal.,Increase reach by 14% in 2 years.,This policy aims to improve teacher quality in Early Childhood through digital device distribution in West Bengal. Goals: Increase reach by 14% in 2 years.,"national early childhood education reform 26. this policy aims to improve teacher quality in early childhood through digital device distribution in west bengal. goals: increase reach by 14% in 2 years.. stakeholders: state education department, private partners"
P1442,State Secondary Education Reform 59,Secondary,Kerala,2019,Teachers,Under Review,5.48,"EdTech Companies, Universities",0.153,This policy aims to improve infrastructure in Secondary through grants to schools in Kerala.,Increase reach by 34% in 4 years.,This policy aims to improve infrastructure in Secondary through grants to schools in Kerala. Goals: Increase reach by 34% in 4 years.,"state secondary education reform 59. this policy aims to improve infrastructure in secondary through grants to schools in kerala. goals: increase reach by 34% in 4 years.. stakeholders: edtech companies, universities"
P1483,District Early Childhood Education Reform 99,Vocational,Gujarat,2018,Rural Students,Pilot,0.3,"EdTech Companies, Universities",0.406,This policy aims to improve early childhood development in Vocational through scholarship schemes in Gujarat.,Increase reach by 6% in 1 years.,This policy aims to improve early childhood development in Vocational through scholarship schemes in Gujarat. Goals: Increase reach by 6% in 1 years.,"district early childhood education reform 99. this policy aims to improve early childhood development in vocational through scholarship schemes in gujarat. goals: increase reach by 6% in 1 years.. stakeholders: edtech companies, universities"
P1050,State Primary Education Reform 7,Early Childhood,Delhi,2017,Disadvantaged Groups,Pilot,4.43,"EdTech Companies, Universities",0.353,This policy aims to improve digital access in Early Childhood through curriculum reform in Delhi.,Increase reach by 26% in 2 years.,This policy aims to improve digital access in Early Childhood through curriculum reform in Delhi. Goals: Increase reach by 26% in 2 years.,"state primary education reform 7. this policy aims to improve digital access in early childhood through curriculum reform in delhi. goals: increase reach by 26% in 2 years.. stakeholders: edtech companies, universities"
P1420,State Higher Education Education Reform 68,Primary,Maharashtra,2023,Disadvantaged Groups,Under Review,0.34,"Teachers' Unions, Community Leaders",0.398,This policy aims to improve teacher quality in Primary through grants to schools in Maharashtra.,Increase reach by 21% in 5 years.,This policy aims to improve teacher quality in Primary through grants to schools in Maharashtra. Goals: Increase reach by 21% in 5 years.,"state higher education education reform 68. this policy aims to improve teacher quality in primary through grants to schools in maharashtra. goals: increase reach by 21% in 5 years.. stakeholders: teachers' unions, community leaders"
P1081,District Primary Education Reform 61,Vocational,Kerala,2023,Women,Proposed,0.3,"EdTech Companies, Universities",0.139,This policy aims to improve vocational skills in Vocational through scholarship schemes in Kerala.,Increase reach by 24% in 4 years.,This policy aims to improve vocational skills in Vocational through scholarship schemes in Kerala. Goals: Increase reach by 24% in 4 years.,"district primary education reform 61. this policy aims to improve vocational skills in vocational through scholarship schemes in kerala. goals: increase reach by 24% in 4 years.. stakeholders: edtech companies, universities"
P1206,National Higher Education Education Reform 11,Early Childhood,Uttar Pradesh,2017,Women,Under Review,0.33,"Ministry of Education, Local NGOs",0.376,This policy aims to improve digital access in Early Childhood through public-private partnerships in Uttar Pradesh.,Increase reach by 20% in 1 years.,This policy aims to improve digital access in Early Childhood through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 20% in 1 years.,"national higher education education reform 11. this policy aims to improve digital access in early childhood through public-private partnerships in uttar pradesh. goals: increase reach by 20% in 1 years.. stakeholders: ministry of education, local ngos"
P1035,State Secondary Education Reform 82,Higher Education,Rajasthan,2022,Disadvantaged Groups,Implemented,55.19,"Teachers' Unions, Community Leaders",0.309,This policy aims to improve teacher quality in Higher Education through digital device distribution in Rajasthan.,Increase reach by 39% in 1 years.,This policy aims to improve teacher quality in Higher Education through digital device distribution in Rajasthan. Goals: Increase reach by 39% in 1 years.,"state secondary education reform 82. this policy aims to improve teacher quality in higher education through digital device distribution in rajasthan. goals: increase reach by 39% in 1 years.. stakeholders: teachers' unions, community leaders"
P1264,State Secondary Education Reform 1,Primary,Maharashtra,2016,All,Pilot,19.24,"EdTech Companies, Universities",0.167,This policy aims to improve vocational skills in Primary through grants to schools in Maharashtra.,Increase reach by 21% in 2 years.,This policy aims to improve vocational skills in Primary through grants to schools in Maharashtra. Goals: Increase reach by 21% in 2 years.,"state secondary education reform 1. this policy aims to improve vocational skills in primary through grants to schools in maharashtra. goals: increase reach by 21% in 2 years.. stakeholders: edtech companies, universities"
P1428,District Early Childhood Education Reform 46,Higher Education,Delhi,2021,Students,Proposed,62.77,"Teachers' Unions, Community Leaders",0.172,This policy aims to improve digital access in Higher Education through digital device distribution in Delhi.,Increase reach by 17% in 2 years.,This policy aims to improve digital access in Higher Education through digital device distribution in Delhi. Goals: Increase reach by 17% in 2 years.,"district early childhood education reform 46. this policy aims to improve digital access in higher education through digital device distribution in delhi. goals: increase reach by 17% in 2 years.. stakeholders: teachers' unions, community leaders"
P1367,State Vocational Education Reform 61,Primary,Kerala,2018,Disadvantaged Groups,Implemented,13.2,"Teachers' Unions, Community Leaders",0.588,This policy aims to improve early childhood development in Primary through public-private partnerships in Kerala.,Increase reach by 14% in 1 years.,This policy aims to improve early childhood development in Primary through public-private partnerships in Kerala. Goals: Increase reach by 14% in 1 years.,"state vocational education reform 61. this policy aims to improve early childhood development in primary through public-private partnerships in kerala. goals: increase reach by 14% in 1 years.. stakeholders: teachers' unions, community leaders"
P1092,National Secondary Education Reform 49,Early Childhood,Uttar Pradesh,2023,Women,Under Review,2.29,"Ministry of Education, Local NGOs",0.488,This policy aims to improve digital access in Early Childhood through grants to schools in Uttar Pradesh.,Increase reach by 25% in 5 years.,This policy aims to improve digital access in Early Childhood through grants to schools in Uttar Pradesh. Goals: Increase reach by 25% in 5 years.,"national secondary education reform 49. this policy aims to improve digital access in early childhood through grants to schools in uttar pradesh. goals: increase reach by 25% in 5 years.. stakeholders: ministry of education, local ngos"
P1340,National Higher Education Education Reform 15,Vocational,Punjab,2022,Rural Students,Pilot,9.81,"State Education Department, Private Partners",0.144,This policy aims to improve early childhood development in Vocational through grants to schools in Punjab.,Increase reach by 16% in 1 years.,This policy aims to improve early childhood development in Vocational through grants to schools in Punjab. Goals: Increase reach by 16% in 1 years.,"national higher education education reform 15. this policy aims to improve early childhood development in vocational through grants to schools in punjab. goals: increase reach by 16% in 1 years.. stakeholders: state education department, private partners"
P1474,National Secondary Education Reform 86,Higher Education,Karnataka,2016,Teachers,Under Review,48.18,"EdTech Companies, Universities",0.795,This policy aims to improve early childhood development in Higher Education through teacher training programs in Karnataka.,Increase reach by 37% in 5 years.,This policy aims to improve early childhood development in Higher Education through teacher training programs in Karnataka. Goals: Increase reach by 37% in 5 years.,"national secondary education reform 86. this policy aims to improve early childhood development in higher education through teacher training programs in karnataka. goals: increase reach by 37% in 5 years.. stakeholders: edtech companies, universities"
P1053,District Primary Education Reform 98,Secondary,Uttar Pradesh,2019,Disadvantaged Groups,Proposed,8.6,"EdTech Companies, Universities",0.167,This policy aims to improve learning outcomes in Secondary through curriculum reform in Uttar Pradesh.,Increase reach by 33% in 5 years.,This policy aims to improve learning outcomes in Secondary through curriculum reform in Uttar Pradesh. Goals: Increase reach by 33% in 5 years.,"district primary education reform 98. this policy aims to improve learning outcomes in secondary through curriculum reform in uttar pradesh. goals: increase reach by 33% in 5 years.. stakeholders: edtech companies, universities"
P1346,National Secondary Education Reform 21,Vocational,Maharashtra,2025,Women,Under Review,0.77,"State Education Department, Private Partners",0.724,This policy aims to improve learning outcomes in Vocational through teacher training programs in Maharashtra.,Increase reach by 36% in 2 years.,This policy aims to improve learning outcomes in Vocational through teacher training programs in Maharashtra. Goals: Increase reach by 36% in 2 years.,"national secondary education reform 21. this policy aims to improve learning outcomes in vocational through teacher training programs in maharashtra. goals: increase reach by 36% in 2 years.. stakeholders: state education department, private partners"
P1265,State Higher Education Education Reform 34,Vocational,Karnataka,2016,All,Implemented,4.34,"Teachers' Unions, Community Leaders",0.813,This policy aims to improve teacher quality in Vocational through curriculum reform in Karnataka.,Increase reach by 12% in 1 years.,This policy aims to improve teacher quality in Vocational through curriculum reform in Karnataka. Goals: Increase reach by 12% in 1 years.,"state higher education education reform 34. this policy aims to improve teacher quality in vocational through curriculum reform in karnataka. goals: increase reach by 12% in 1 years.. stakeholders: teachers' unions, community leaders"
P1242,National Higher Education Education Reform 69,Higher Education,West Bengal,2019,Urban Students,Pilot,0.11,"Teachers' Unions, Community Leaders",0.459,This policy aims to improve early childhood development in Higher Education through scholarship schemes in West Bengal.,Increase reach by 30% in 1 years.,This policy aims to improve early childhood development in Higher Education through scholarship schemes in West Bengal. Goals: Increase reach by 30% in 1 years.,"national higher education education reform 69. this policy aims to improve early childhood development in higher education through scholarship schemes in west bengal. goals: increase reach by 30% in 1 years.. stakeholders: teachers' unions, community leaders"
P1014,National Higher Education Education Reform 86,Vocational,Uttar Pradesh,2023,Teachers,Pilot,16.77,"Central Government, Donors",0.269,This policy aims to improve learning outcomes in Vocational through public-private partnerships in Uttar Pradesh.,Increase reach by 32% in 3 years.,This policy aims to improve learning outcomes in Vocational through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 32% in 3 years.,"national higher education education reform 86. this policy aims to improve learning outcomes in vocational through public-private partnerships in uttar pradesh. goals: increase reach by 32% in 3 years.. stakeholders: central government, donors"
P1316,State Primary Education Reform 26,Early Childhood,Delhi,2018,Students,Implemented,15.11,"Teachers' Unions, Community Leaders",0.313,This policy aims to improve learning outcomes in Early Childhood through teacher training programs in Delhi.,Increase reach by 10% in 3 years.,This policy aims to improve learning outcomes in Early Childhood through teacher training programs in Delhi. Goals: Increase reach by 10% in 3 years.,"state primary education reform 26. this policy aims to improve learning outcomes in early childhood through teacher training programs in delhi. goals: increase reach by 10% in 3 years.. stakeholders: teachers' unions, community leaders"
P1089,State Higher Education Education Reform 21,Higher Education,Delhi,2020,All,Proposed,1.2,"EdTech Companies, Universities",0.144,This policy aims to improve learning outcomes in Higher Education through digital device distribution in Delhi.,Increase reach by 33% in 4 years.,This policy aims to improve learning outcomes in Higher Education through digital device distribution in Delhi. Goals: Increase reach by 33% in 4 years.,"state higher education education reform 21. this policy aims to improve learning outcomes in higher education through digital device distribution in delhi. goals: increase reach by 33% in 4 years.. stakeholders: edtech companies, universities"
P1388,District Primary Education Reform 14,Early Childhood,Rajasthan,2016,Urban Students,Under Review,0.34,"Teachers' Unions, Community Leaders",0.331,This policy aims to improve early childhood development in Early Childhood through scholarship schemes in Rajasthan.,Increase reach by 27% in 2 years.,This policy aims to improve early childhood development in Early Childhood through scholarship schemes in Rajasthan. Goals: Increase reach by 27% in 2 years.,"district primary education reform 14. this policy aims to improve early childhood development in early childhood through scholarship schemes in rajasthan. goals: increase reach by 27% in 2 years.. stakeholders: teachers' unions, community leaders"
P1274,State Higher Education Education Reform 71,Early Childhood,Kerala,2016,Students,Implemented,0.16,"Central Government, Donors",0.195,This policy aims to improve early childhood development in Early Childhood through teacher training programs in Kerala.,Increase reach by 17% in 1 years.,This policy aims to improve early childhood development in Early Childhood through teacher training programs in Kerala. Goals: Increase reach by 17% in 1 years.,"state higher education education reform 71. this policy aims to improve early childhood development in early childhood through teacher training programs in kerala. goals: increase reach by 17% in 1 years.. stakeholders: central government, donors"
P1167,State Primary Education Reform 84,Primary,Maharashtra,2021,Urban Students,Pilot,0.12,"Ministry of Education, Local NGOs",0.726,This policy aims to improve learning outcomes in Primary through curriculum reform in Maharashtra.,Increase reach by 32% in 3 years.,This policy aims to improve learning outcomes in Primary through curriculum reform in Maharashtra. Goals: Increase reach by 32% in 3 years.,"state primary education reform 84. this policy aims to improve learning outcomes in primary through curriculum reform in maharashtra. goals: increase reach by 32% in 3 years.. stakeholders: ministry of education, local ngos"
P1329,National Secondary Education Reform 33,Vocational,Maharashtra,2022,Disadvantaged Groups,Under Review,48.88,"EdTech Companies, Universities",0.596,This policy aims to improve teacher quality in Vocational through digital device distribution in Maharashtra.,Increase reach by 6% in 4 years.,This policy aims to improve teacher quality in Vocational through digital device distribution in Maharashtra. Goals: Increase reach by 6% in 4 years.,"national secondary education reform 33. this policy aims to improve teacher quality in vocational through digital device distribution in maharashtra. goals: increase reach by 6% in 4 years.. stakeholders: edtech companies, universities"
P1493,District Primary Education Reform 67,Secondary,Kerala,2022,Teachers,Implemented,16.2,"Teachers' Unions, Community Leaders",0.851,This policy aims to improve digital access in Secondary through digital device distribution in Kerala.,Increase reach by 9% in 2 years.,This policy aims to improve digital access in Secondary through digital device distribution in Kerala. Goals: Increase reach by 9% in 2 years.,"district primary education reform 67. this policy aims to improve digital access in secondary through digital device distribution in kerala. goals: increase reach by 9% in 2 years.. stakeholders: teachers' unions, community leaders"
P1135,State Higher Education Education Reform 84,Early Childhood,Punjab,2018,Disadvantaged Groups,Proposed,0.17,"EdTech Companies, Universities",0.789,This policy aims to improve digital access in Early Childhood through teacher training programs in Punjab.,Increase reach by 20% in 1 years.,This policy aims to improve digital access in Early Childhood through teacher training programs in Punjab. Goals: Increase reach by 20% in 1 years.,"state higher education education reform 84. this policy aims to improve digital access in early childhood through teacher training programs in punjab. goals: increase reach by 20% in 1 years.. stakeholders: edtech companies, universities"
P1307,State Early Childhood Education Reform 19,Early Childhood,Tamil Nadu,2024,Disadvantaged Groups,Under Review,15.86,"Teachers' Unions, Community Leaders",0.921,This policy aims to improve early childhood development in Early Childhood through scholarship schemes in Tamil Nadu.,Increase reach by 9% in 2 years.,This policy aims to improve early childhood development in Early Childhood through scholarship schemes in Tamil Nadu. Goals: Increase reach by 9% in 2 years.,"state early childhood education reform 19. this policy aims to improve early childhood development in early childhood through scholarship schemes in tamil nadu. goals: increase reach by 9% in 2 years.. stakeholders: teachers' unions, community leaders"
P1481,State Vocational Education Reform 86,Early Childhood,West Bengal,2022,Women,Under Review,16.52,"Ministry of Education, Local NGOs",0.209,This policy aims to improve digital access in Early Childhood through curriculum reform in West Bengal.,Increase reach by 19% in 2 years.,This policy aims to improve digital access in Early Childhood through curriculum reform in West Bengal. Goals: Increase reach by 19% in 2 years.,"state vocational education reform 86. this policy aims to improve digital access in early childhood through curriculum reform in west bengal. goals: increase reach by 19% in 2 years.. stakeholders: ministry of education, local ngos"
P1320,National Vocational Education Reform 15,Higher Education,Maharashtra,2021,Disadvantaged Groups,Implemented,17.0,"Central Government, Donors",0.95,This policy aims to improve early childhood development in Higher Education through scholarship schemes in Maharashtra.,Increase reach by 5% in 3 years.,This policy aims to improve early childhood development in Higher Education through scholarship schemes in Maharashtra. Goals: Increase reach by 5% in 3 years.,"national vocational education reform 15. this policy aims to improve early childhood development in higher education through scholarship schemes in maharashtra. goals: increase reach by 5% in 3 years.. stakeholders: central government, donors"
P1244,National Higher Education Education Reform 96,Vocational,Kerala,2019,Disadvantaged Groups,Pilot,1.35,"State Education Department, Private Partners",0.913,This policy aims to improve digital access in Vocational through public-private partnerships in Kerala.,Increase reach by 36% in 5 years.,This policy aims to improve digital access in Vocational through public-private partnerships in Kerala. Goals: Increase reach by 36% in 5 years.,"national higher education education reform 96. this policy aims to improve digital access in vocational through public-private partnerships in kerala. goals: increase reach by 36% in 5 years.. stakeholders: state education department, private partners"
P1055,National Early Childhood Education Reform 29,Secondary,Delhi,2017,Students,Proposed,16.89,"EdTech Companies, Universities",0.767,This policy aims to improve early childhood development in Secondary through digital device distribution in Delhi.,Increase reach by 33% in 1 years.,This policy aims to improve early childhood development in Secondary through digital device distribution in Delhi. Goals: Increase reach by 33% in 1 years.,"national early childhood education reform 29. this policy aims to improve early childhood development in secondary through digital device distribution in delhi. goals: increase reach by 33% in 1 years.. stakeholders: edtech companies, universities"
P1364,District Early Childhood Education Reform 32,Secondary,Maharashtra,2019,All,Pilot,74.78,"EdTech Companies, Universities",0.18,This policy aims to improve vocational skills in Secondary through curriculum reform in Maharashtra.,Increase reach by 32% in 3 years.,This policy aims to improve vocational skills in Secondary through curriculum reform in Maharashtra. Goals: Increase reach by 32% in 3 years.,"district early childhood education reform 32. this policy aims to improve vocational skills in secondary through curriculum reform in maharashtra. goals: increase reach by 32% in 3 years.. stakeholders: edtech companies, universities"
P1051,National Higher Education Education Reform 62,Primary,Maharashtra,2021,Urban Students,Proposed,1.18,"EdTech Companies, Universities",0.945,This policy aims to improve learning outcomes in Primary through teacher training programs in Maharashtra.,Increase reach by 12% in 5 years.,This policy aims to improve learning outcomes in Primary through teacher training programs in Maharashtra. Goals: Increase reach by 12% in 5 years.,"national higher education education reform 62. this policy aims to improve learning outcomes in primary through teacher training programs in maharashtra. goals: increase reach by 12% in 5 years.. stakeholders: edtech companies, universities"
P1457,District Higher Education Education Reform 45,Secondary,Kerala,2022,Women,Implemented,29.72,"Ministry of Education, Local NGOs",0.46,This policy aims to improve digital access in Secondary through teacher training programs in Kerala.,Increase reach by 34% in 3 years.,This policy aims to improve digital access in Secondary through teacher training programs in Kerala. Goals: Increase reach by 34% in 3 years.,"district higher education education reform 45. this policy aims to improve digital access in secondary through teacher training programs in kerala. goals: increase reach by 34% in 3 years.. stakeholders: ministry of education, local ngos"
P1175,State Higher Education Education Reform 54,Higher Education,Gujarat,2016,Rural Students,Under Review,15.81,"Central Government, Donors",0.628,This policy aims to improve infrastructure in Higher Education through curriculum reform in Gujarat.,Increase reach by 11% in 2 years.,This policy aims to improve infrastructure in Higher Education through curriculum reform in Gujarat. Goals: Increase reach by 11% in 2 years.,"state higher education education reform 54. this policy aims to improve infrastructure in higher education through curriculum reform in gujarat. goals: increase reach by 11% in 2 years.. stakeholders: central government, donors"
P1446,District Vocational Education Reform 28,Secondary,Kerala,2019,Teachers,Proposed,2.66,"Teachers' Unions, Community Leaders",0.244,This policy aims to improve digital access in Secondary through scholarship schemes in Kerala.,Increase reach by 6% in 4 years.,This policy aims to improve digital access in Secondary through scholarship schemes in Kerala. Goals: Increase reach by 6% in 4 years.,"district vocational education reform 28. this policy aims to improve digital access in secondary through scholarship schemes in kerala. goals: increase reach by 6% in 4 years.. stakeholders: teachers' unions, community leaders"
P1190,District Primary Education Reform 98,Secondary,Delhi,2015,Rural Students,Implemented,33.46,"Central Government, Donors",0.603,This policy aims to improve digital access in Secondary through scholarship schemes in Delhi.,Increase reach by 37% in 1 years.,This policy aims to improve digital access in Secondary through scholarship schemes in Delhi. Goals: Increase reach by 37% in 1 years.,"district primary education reform 98. this policy aims to improve digital access in secondary through scholarship schemes in delhi. goals: increase reach by 37% in 1 years.. stakeholders: central government, donors"
P1497,District Early Childhood Education Reform 16,Early Childhood,Punjab,2023,Rural Students,Pilot,1.57,"Ministry of Education, Local NGOs",0.788,This policy aims to improve teacher quality in Early Childhood through digital device distribution in Punjab.,Increase reach by 29% in 2 years.,This policy aims to improve teacher quality in Early Childhood through digital device distribution in Punjab. Goals: Increase reach by 29% in 2 years.,"district early childhood education reform 16. this policy aims to improve teacher quality in early childhood through digital device distribution in punjab. goals: increase reach by 29% in 2 years.. stakeholders: ministry of education, local ngos"
P1188,State Vocational Education Reform 24,Vocational,Rajasthan,2025,Teachers,Implemented,0.22,"State Education Department, Private Partners",0.38,This policy aims to improve digital access in Vocational through scholarship schemes in Rajasthan.,Increase reach by 8% in 3 years.,This policy aims to improve digital access in Vocational through scholarship schemes in Rajasthan. Goals: Increase reach by 8% in 3 years.,"state vocational education reform 24. this policy aims to improve digital access in vocational through scholarship schemes in rajasthan. goals: increase reach by 8% in 3 years.. stakeholders: state education department, private partners"
P1170,State Secondary Education Reform 89,Primary,Rajasthan,2020,Students,Proposed,0.19,"Ministry of Education, Local NGOs",0.403,This policy aims to improve early childhood development in Primary through scholarship schemes in Rajasthan.,Increase reach by 30% in 3 years.,This policy aims to improve early childhood development in Primary through scholarship schemes in Rajasthan. Goals: Increase reach by 30% in 3 years.,"state secondary education reform 89. this policy aims to improve early childhood development in primary through scholarship schemes in rajasthan. goals: increase reach by 30% in 3 years.. stakeholders: ministry of education, local ngos"
P1059,District Vocational Education Reform 98,Early Childhood,Karnataka,2022,Students,Under Review,45.86,"Central Government, Donors",0.87,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Karnataka.,Increase reach by 39% in 4 years.,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Karnataka. Goals: Increase reach by 39% in 4 years.,"district vocational education reform 98. this policy aims to improve learning outcomes in early childhood through public-private partnerships in karnataka. goals: increase reach by 39% in 4 years.. stakeholders: central government, donors"
P1049,National Vocational Education Reform 36,Early Childhood,Rajasthan,2024,Rural Students,Proposed,9.44,"Teachers' Unions, Community Leaders",0.26,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Rajasthan.,Increase reach by 39% in 2 years.,This policy aims to improve learning outcomes in Early Childhood through public-private partnerships in Rajasthan. Goals: Increase reach by 39% in 2 years.,"national vocational education reform 36. this policy aims to improve learning outcomes in early childhood through public-private partnerships in rajasthan. goals: increase reach by 39% in 2 years.. stakeholders: teachers' unions, community leaders"
P1345,State Primary Education Reform 22,Higher Education,Punjab,2016,Urban Students,Implemented,4.86,"EdTech Companies, Universities",0.797,This policy aims to improve digital access in Higher Education through public-private partnerships in Punjab.,Increase reach by 14% in 3 years.,This policy aims to improve digital access in Higher Education through public-private partnerships in Punjab. Goals: Increase reach by 14% in 3 years.,"state primary education reform 22. this policy aims to improve digital access in higher education through public-private partnerships in punjab. goals: increase reach by 14% in 3 years.. stakeholders: edtech companies, universities"
P1236,National Primary Education Reform 27,Secondary,Delhi,2016,Urban Students,Proposed,82.79,"Central Government, Donors",0.535,This policy aims to improve vocational skills in Secondary through digital device distribution in Delhi.,Increase reach by 10% in 5 years.,This policy aims to improve vocational skills in Secondary through digital device distribution in Delhi. Goals: Increase reach by 10% in 5 years.,"national primary education reform 27. this policy aims to improve vocational skills in secondary through digital device distribution in delhi. goals: increase reach by 10% in 5 years.. stakeholders: central government, donors"
P1253,State Primary Education Reform 61,Secondary,Delhi,2023,All,Implemented,72.35,"State Education Department, Private Partners",0.416,This policy aims to improve vocational skills in Secondary through digital device distribution in Delhi.,Increase reach by 31% in 3 years.,This policy aims to improve vocational skills in Secondary through digital device distribution in Delhi. Goals: Increase reach by 31% in 3 years.,"state primary education reform 61. this policy aims to improve vocational skills in secondary through digital device distribution in delhi. goals: increase reach by 31% in 3 years.. stakeholders: state education department, private partners"
P1022,District Early Childhood Education Reform 39,Primary,Tamil Nadu,2019,Students,Proposed,9.09,"EdTech Companies, Universities",0.287,This policy aims to improve teacher quality in Primary through teacher training programs in Tamil Nadu.,Increase reach by 21% in 5 years.,This policy aims to improve teacher quality in Primary through teacher training programs in Tamil Nadu. Goals: Increase reach by 21% in 5 years.,"district early childhood education reform 39. this policy aims to improve teacher quality in primary through teacher training programs in tamil nadu. goals: increase reach by 21% in 5 years.. stakeholders: edtech companies, universities"
P1314,National Early Childhood Education Reform 52,Higher Education,Rajasthan,2024,Disadvantaged Groups,Proposed,10.84,"Ministry of Education, Local NGOs",0.816,This policy aims to improve infrastructure in Higher Education through curriculum reform in Rajasthan.,Increase reach by 32% in 1 years.,This policy aims to improve infrastructure in Higher Education through curriculum reform in Rajasthan. Goals: Increase reach by 32% in 1 years.,"national early childhood education reform 52. this policy aims to improve infrastructure in higher education through curriculum reform in rajasthan. goals: increase reach by 32% in 1 years.. stakeholders: ministry of education, local ngos"
